timestamp,PupilLeft,PupilRight,ValidityL,ValidityR,Gpx,Gpy,Fixation,Event,AOI
03-04-2019 23:00:16:662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:16:767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:16:868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:16:971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:17:900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:18:926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:19:959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:20:991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:21:919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:22:946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:23:977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:24:904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:25:939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:26:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:26:140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:26:242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 23:00:26:345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
