timestamp,P2,A2,D2
03-04-2019 23:00:12:839,1.33,1.67,2.67
03-04-2019 23:00:12:862,1.33,1.67,2.67
03-04-2019 23:00:12:874,1.33,1.67,2.67
03-04-2019 23:00:12:885,1.33,1.67,2.67
03-04-2019 23:00:12:896,1.33,1.67,2.67
03-04-2019 23:00:12:907,1.33,1.67,2.67
03-04-2019 23:00:12:917,1.33,1.67,2.67
03-04-2019 23:00:12:930,1.33,1.67,2.67
03-04-2019 23:00:12:942,1.33,1.67,2.67
03-04-2019 23:00:12:954,1.33,1.67,2.67
03-04-2019 23:00:12:966,1.33,1.67,2.67
03-04-2019 23:00:12:977,1.33,1.67,2.67
03-04-2019 23:00:12:988,1.33,1.67,2.67
03-04-2019 23:00:12:999,1.33,1.67,2.67
03-04-2019 23:00:13:11,1.33,1.67,2.67
03-04-2019 23:00:13:22,1.33,1.67,2.67
03-04-2019 23:00:13:32,1.33,1.67,2.67
03-04-2019 23:00:13:42,1.33,1.67,2.67
03-04-2019 23:00:13:64,1.33,1.67,2.67
03-04-2019 23:00:13:75,1.33,1.67,2.67
03-04-2019 23:00:13:90,1.33,1.67,2.67
03-04-2019 23:00:13:107,1.33,1.67,2.67
03-04-2019 23:00:13:118,1.33,1.67,2.67
03-04-2019 23:00:13:129,1.33,1.67,2.67
03-04-2019 23:00:13:140,1.33,1.67,2.67
03-04-2019 23:00:13:150,1.33,1.67,2.67
03-04-2019 23:00:13:162,1.33,1.67,2.67
03-04-2019 23:00:13:188,1.33,1.67,2.67
03-04-2019 23:00:13:199,1.33,1.67,2.67
03-04-2019 23:00:13:211,1.33,1.67,2.67
03-04-2019 23:00:13:227,1.33,1.67,2.67
03-04-2019 23:00:13:241,1.33,1.67,2.67
03-04-2019 23:00:13:253,1.33,1.67,2.67
03-04-2019 23:00:13:265,1.33,1.67,2.67
03-04-2019 23:00:13:275,1.33,1.67,2.67
03-04-2019 23:00:13:286,1.33,1.67,2.67
03-04-2019 23:00:13:296,1.33,1.67,2.67
